t, velocity, pressure, k, omega, wall_distance
 1.0000000e-04,  3.9115992e+02,  1.0000000e+04,  9.2800063e+03,  9.9999305e+03,  1.0000000e+04
 2.0000000e-04,  3.1412196e+01,  1.6486531e+06,  6.6759210e+04,  8.6013035e+03,  0.0000000e+00
 3.0000000e-04,  2.2280739e+01,  2.7690142e+03,  3.5707497e+04,  7.6776003e+03,  0.0000000e+00
 4.0000000e-04,  1.9902062e+01,  3.2949230e+03,  1.9206098e+04,  6.5156773e+03,  0.0000000e+00
 5.0000000e-04,  1.8257407e+01,  2.3573361e+03,  8.9161868e+03,  5.3095248e+03,  0.0000000e+00
 6.0000000e-04,  1.7450306e+01,  1.7193990e+03,  3.8884828e+03,  4.2500390e+03,  0.0000000e+00
 7.0000000e-04,  1.6934912e+01,  1.3258671e+03,  2.5274494e+03,  3.4146460e+03,  0.0000000e+00
 8.0000000e-04,  1.6410444e+01,  1.0633570e+03,  2.0607527e+03,  2.7866131e+03,  0.0000000e+00
 9.0000000e-04,  1.5885697e+01,  8.7941412e+02,  1.7647040e+03,  2.3185050e+03,  0.0000000e+00
 1.0000000e-03,  1.5370797e+01,  7.4513612e+02,  1.5460448e+03,  1.9659631e+03,  0.0000000e+00
 1.1000000e-03,  1.4870980e+01,  6.4429821e+02,  1.3638511e+03,  1.6956208e+03,  0.0000000e+00
 1.2000000e-03,  1.4391338e+01,  5.6704791e+02,  1.2145806e+03,  1.4839984e+03,  0.0000000e+00
 1.3000000e-03,  1.3938953e+01,  5.0687096e+02,  1.0921253e+03,  1.3150966e+03,  0.0000000e+00
 1.4000000e-03,  1.3509276e+01,  4.5950729e+02,  9.8776698e+02,  1.1778337e+03,  0.0000000e+00
 1.5000000e-03,  1.3097703e+01,  4.2119225e+02,  8.9811846e+02,  1.0643869e+03,  0.0000000e+00
 1.6000000e-03,  1.2705842e+01,  3.8969624e+02,  8.2320639e+02,  9.6930799e+02,  0.0000000e+00
 1.7000000e-03,  1.2333600e+01,  3.6351284e+02,  7.6051871e+02,  8.8864797e+02,  0.0000000e+00
 1.8000000e-03,  1.1985037e+01,  3.4127221e+02,  7.0589803e+02,  8.1933153e+02,  0.0000000e+00
 1.9000000e-03,  1.1664209e+01,  3.2213901e+02,  6.5723454e+02,  7.5917067e+02,  0.0000000e+00
 2.0000000e-03,  1.1362754e+01,  3.0558564e+02,  6.1521259e+02,  7.0659100e+02,  0.0000000e+00
 2.1000000e-03,  1.1082300e+01,  2.9088998e+02,  5.7922480e+02,  6.6023630e+02,  0.0000000e+00
 2.2000000e-03,  1.0821428e+01,  2.7777765e+02,  5.4762475e+02,  6.1899946e+02,  0.0000000e+00
 2.3000000e-03,  1.0578983e+01,  2.6598082e+02,  5.1859718e+02,  5.8210036e+02,  0.0000000e+00
 2.4000000e-03,  1.0353913e+01,  2.5528547e+02,  4.9392713e+02,  5.4896911e+02,  0.0000000e+00
 2.5000000e-03,  1.0143679e+01,  2.4557218e+02,  4.7096000e+02,  5.1910310e+02,  0.0000000e+00
 2.6000000e-03,  9.9472898e+00,  2.3669121e+02,  4.5040031e+02,  4.9196969e+02,  0.0000000e+00
 2.7000000e-03,  9.7644742e+00,  2.2853024e+02,  4.3127449e+02,  4.6719275e+02,  0.0000000e+00
 2.8000000e-03,  9.5932311e+00,  2.2101298e+02,  4.1361444e+02,  4.4451852e+02,  0.0000000e+00
 2.9000000e-03,  9.4333083e+00,  2.1399801e+02,  3.9747070e+02,  4.2376530e+02,  0.0000000e+00
 3.0000000e-03,  9.2837733e+00,  2.0757505e+02,  3.8265672e+02,  4.0469820e+02,  0.0000000e+00
 3.1000000e-03,  9.1437434e+00,  2.0155725e+02,  3.6782432e+02,  3.8726140e+02,  0.0000000e+00
 3.2000000e-03,  9.0131470e+00,  1.9591610e+02,  3.5488943e+02,  3.7111255e+02,  0.0000000e+00
 3.3000000e-03,  8.8911685e+00,  1.9063188e+02,  3.4274358e+02,  3.5600373e+02,  0.0000000e+00
 3.4000000e-03,  8.7768044e+00,  1.8566421e+02,  3.3146097e+02,  3.4205272e+02,  0.0000000e+00
 3.5000000e-03,  8.6695684e+00,  1.8097895e+02,  3.2095559e+02,  3.2877791e+02,  0.0000000e+00
 3.6000000e-03,  8.5687358e+00,  1.7655246e+02,  3.1114512e+02,  3.1632385e+02,  0.0000000e+00
 3.7000000e-03,  8.4737115e+00,  1.7237108e+02,  3.0196343e+02,  3.0457377e+02,  0.0000000e+00
 3.8000000e-03,  8.3841755e+00,  1.6839427e+02,  2.9321223e+02,  2.9314709e+02,  0.0000000e+00
 3.9000000e-03,  8.2995783e+00,  1.6460834e+02,  2.8499462e+02,  2.8284256e+02,  0.0000000e+00
 4.0000000e-03,  8.2193985e+00,  1.6100264e+02,  2.7732487e+02,  2.7296841e+02,  0.0000000e+00
 4.1000000e-03,  8.1432170e+00,  1.5754614e+02,  2.7013403e+02,  2.6366636e+02,  0.0000000e+00
 4.2000000e-03,  8.0704981e+00,  1.5425240e+02,  2.6340406e+02,  2.5521896e+02,  0.0000000e+00
 4.3000000e-03,  8.0009992e+00,  1.5108380e+02,  2.5700151e+02,  2.4673193e+02,  0.0000000e+00
 4.4000000e-03,  7.9343264e+00,  1.4805905e+02,  2.5095320e+02,  2.3867193e+02,  0.0000000e+00
 4.5000000e-03,  7.8704020e+00,  1.4515362e+02,  2.4574923e+02,  2.3071994e+02,  0.0000000e+00
 4.6000000e-03,  7.8091131e+00,  1.4236471e+02,  2.4023209e+02,  2.2372029e+02,  0.0000000e+00
 4.7000000e-03,  7.7501595e+00,  1.3967845e+02,  2.3530126e+02,  2.1672961e+02,  0.0000000e+00
 4.8000000e-03,  7.6929590e+00,  1.3712168e+02,  2.3030396e+02,  2.1016381e+02,  0.0000000e+00
 4.9000000e-03,  7.6370294e+00,  1.3482163e+02,  2.2597689e+02,  2.0393594e+02,  0.0000000e+00
 5.0000000e-03,  7.5686121e+00,  1.0955454e+02,  2.2150061e+02,  1.9555376e+02,  0.0000000e+00
 5.1000000e-03,  7.4987694e+00,  7.8086943e+01,  2.1790686e+02,  1.9018632e+02,  0.0000000e+00
 5.2000000e-03,  7.4317193e+00,  5.0507499e+01,  2.1478506e+02,  1.8507213e+02,  0.0000000e+00
 5.3000000e-03,  7.3611911e+00,  2.7942101e+01,  2.1271863e+02,  1.8019812e+02,  0.0000000e+00
 5.4000000e-03,  7.2910887e+00,  1.0162977e+01,  2.1299996e+02,  1.7564182e+02,  0.0000000e+00
