t, velocity, pressure, k, omega, wall_distance
 1.0000000e-03,  1.0482041e+01,  1.0000000e+03,  9.2800002e+02,  9.9999684e+02,  1.0000000e+03
 2.0000000e-03,  7.2110467e-01,  1.0168967e+05,  5.0576382e+03,  8.2319974e+02,  0.0000000e+00
 3.0000000e-03,  3.4660782e-01,  2.6251885e+03,  2.7727079e+03,  7.1860214e+02,  0.0000000e+00
 4.0000000e-03,  2.7506950e-01,  3.6859236e+02,  1.6092186e+03,  5.9770002e+02,  0.0000000e+00
 5.0000000e-03,  2.2160972e-01,  9.0644091e+01,  9.9700142e+02,  4.8177389e+02,  0.0000000e+00
 6.0000000e-03,  2.0537336e-01,  4.8292323e+01,  6.5214168e+02,  3.8545777e+02,  0.0000000e+00
 7.0000000e-03,  1.9961019e-01,  3.5507858e+01,  4.3852983e+02,  3.1156615e+02,  0.0000000e+00
 8.0000000e-03,  1.9506800e-01,  3.0036291e+01,  2.9998775e+02,  2.5645335e+02,  0.0000000e+00
 9.0000000e-03,  1.9059296e-01,  2.7190799e+01,  2.1552142e+02,  2.1527978e+02,  0.0000000e+00
 1.0000000e-02,  1.8631253e-01,  2.5005890e+01,  1.6736679e+02,  1.8405084e+02,  0.0000000e+00
 1.1000000e-02,  1.8215078e-01,  2.3388060e+01,  1.3922877e+02,  1.5989253e+02,  0.0000000e+00
 1.2000000e-02,  1.7809032e-01,  2.2529565e+01,  1.2111380e+02,  1.4082181e+02,  0.0000000e+00
 1.3000000e-02,  1.7399924e-01,  2.1857284e+01,  1.0814088e+02,  1.2547881e+02,  0.0000000e+00
 1.4000000e-02,  1.7025517e-01,  2.1341858e+01,  9.8070498e+01,  1.1292092e+02,  0.0000000e+00
 1.5000000e-02,  1.6669749e-01,  2.0807141e+01,  8.9586265e+01,  1.0248415e+02,  0.0000000e+00
 1.6000000e-02,  1.6319068e-01,  2.0236780e+01,  8.2578236e+01,  9.3691674e+01,  0.0000000e+00
 1.7000000e-02,  1.5972478e-01,  1.9567176e+01,  7.6486061e+01,  8.6195680e+01,  0.0000000e+00
 1.8000000e-02,  1.5630591e-01,  1.8864144e+01,  7.1080659e+01,  7.9737377e+01,  0.0000000e+00
 1.9000000e-02,  1.5289728e-01,  1.8243550e+01,  6.6353489e+01,  7.4119622e+01,  0.0000000e+00
 2.0000000e-02,  1.4953388e-01,  1.7657902e+01,  6.2212209e+01,  6.9191009e+01,  0.0000000e+00
 2.1000000e-02,  1.4628896e-01,  1.7084483e+01,  5.8540486e+01,  6.4834001e+01,  0.0000000e+00
 2.2000000e-02,  1.4315340e-01,  1.6559033e+01,  5.5203064e+01,  6.0955907e+01,  0.0000000e+00
 2.3000000e-02,  1.4013688e-01,  1.6078698e+01,  5.2199010e+01,  5.7482661e+01,  0.0000000e+00
 2.4000000e-02,  1.3725845e-01,  1.5636424e+01,  4.9492571e+01,  5.4354576e+01,  0.0000000e+00
