t, velocity, pressure, k, omega, wall_distance
 5.0000000e-04,  2.1089158e+01,  2.0000000e+03,  1.8560000e+03,  1.9999996e+03,  2.0000000e+03
 1.0000000e-03,  1.0259262e+00,  9.1351758e+04,  5.0581220e+03,  1.4036078e+03,  0.0000000e+00
 1.5000000e-03,  3.7960930e-01,  2.5904994e+04,  2.9764413e+03,  1.1602245e+03,  0.0000000e+00
 2.0000000e-03,  2.8251990e-01,  6.2435300e+02,  1.8862342e+03,  9.3201835e+02,  0.0000000e+00
 2.5000000e-03,  2.3828847e-01,  1.8785858e+02,  1.2877986e+03,  7.4484418e+02,  0.0000000e+00
 3.0000000e-03,  2.2780662e-01,  1.6703783e+02,  9.3846762e+02,  6.0253011e+02,  0.0000000e+00
 3.5000000e-03,  2.2003242e-01,  1.4238984e+02,  7.2085318e+02,  4.9712427e+02,  0.0000000e+00
 4.0000000e-03,  2.1329245e-01,  1.2911736e+02,  5.7689334e+02,  4.1833188e+02,  0.0000000e+00
 4.5000000e-03,  2.0713888e-01,  1.1713307e+02,  4.7659969e+02,  3.5835575e+02,  0.0000000e+00
 5.0000000e-03,  2.0288902e-01,  1.0718346e+02,  4.0363655e+02,  3.1176752e+02,  0.0000000e+00
 5.5000000e-03,  1.9839604e-01,  9.9957058e+01,  3.4862037e+02,  2.7483995e+02,  0.0000000e+00
 6.0000000e-03,  1.9454429e-01,  9.3071237e+01,  3.0588913e+02,  2.4501353e+02,  0.0000000e+00
 6.5000000e-03,  1.9124412e-01,  8.7349282e+01,  2.7186692e+02,  2.2051025e+02,  0.0000000e+00
 7.0000000e-03,  1.8737634e-01,  8.2513846e+01,  2.4420111e+02,  2.0007380e+02,  0.0000000e+00
 7.5000000e-03,  1.8410115e-01,  7.7961294e+01,  2.2130215e+02,  1.8279970e+02,  0.0000000e+00
 8.0000000e-03,  1.8110481e-01,  7.3399281e+01,  2.0205946e+02,  1.6802482e+02,  0.0000000e+00
 8.5000000e-03,  1.7823589e-01,  7.0926473e+01,  1.8567445e+02,  1.5525429e+02,  0.0000000e+00
 9.0000000e-03,  1.7543646e-01,  6.7296514e+01,  1.7156487e+02,  1.4411269e+02,  0.0000000e+00
