 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  5.2959667e+01,  4.9486430e+01,  0.0000000e+00,  2.1000000e-05,  0.0000000e+00,  0.0000000e+00
       1,  6.9724632e+02,  0.0000000e+00,  0.0000000e+00,  2.0755700e-01,  6.8089096e+02,  9.2433110e+00
       2,  4.0268722e+01,  0.0000000e+00,  0.0000000e+00,  2.2625200e-01,  2.1098730e+01,  1.0358366e+01
       3,  3.7080973e+01,  0.0000000e+00,  0.0000000e+00,  2.2816500e-01,  1.6393623e+01,  1.0626069e+01
       4,  3.4754506e+01,  0.0000000e+00,  0.0000000e+00,  2.3027100e-01,  1.4155858e+01,  1.1233092e+01
       5,  3.3757056e+01,  0.0000000e+00,  0.0000000e+00,  2.3057100e-01,  1.2389194e+01,  1.1265631e+01
       6,  3.3563940e+01,  0.0000000e+00,  0.0000000e+00,  2.2998800e-01,  1.2197333e+01,  1.1272088e+01
       7,  3.3227841e+01,  0.0000000e+00,  0.0000000e+00,  2.2900200e-01,  1.1872765e+01,  1.1280747e+01
       8,  3.3115632e+01,  0.0000000e+00,  0.0000000e+00,  2.2892600e-01,  1.1774492e+01,  1.1270716e+01
       9,  3.3838163e+01,  0.0000000e+00,  0.0000000e+00,  2.2912400e-01,  1.2437397e+01,  1.1308590e+01
      10,  3.3127903e+01,  0.0000000e+00,  0.0000000e+00,  2.3014500e-01,  1.1645756e+01,  1.1334629e+01
      11,  3.3087246e+01,  0.0000000e+00,  0.0000000e+00,  2.2948400e-01,  1.1619634e+01,  1.1358431e+01
      12,  3.2620956e+01,  0.0000000e+00,  0.0000000e+00,  2.2995500e-01,  1.1159602e+01,  1.1359926e+01
      13,  3.2564452e+01,  0.0000000e+00,  0.0000000e+00,  2.2902900e-01,  1.1396700e+01,  1.1063470e+01
      14,  3.1947287e+01,  0.0000000e+00,  0.0000000e+00,  2.3050600e-01,  1.1082066e+01,  1.0761786e+01
      15,  3.1802814e+01,  0.0000000e+00,  0.0000000e+00,  2.3101300e-01,  1.0915603e+01,  1.0773790e+01
      16,  3.1778557e+01,  0.0000000e+00,  0.0000000e+00,  2.2848600e-01,  1.0892832e+01,  1.0763381e+01
      17,  3.1956328e+01,  0.0000000e+00,  0.0000000e+00,  2.3081700e-01,  1.0703263e+01,  1.1073054e+01
      18,  3.2157257e+01,  0.0000000e+00,  0.0000000e+00,  2.3157700e-01,  1.0955294e+01,  1.1069311e+01
      19,  3.2045002e+01,  0.0000000e+00,  0.0000000e+00,  2.3105200e-01,  1.0811468e+01,  1.1105445e+01
      20,  3.1284134e+01,  0.0000000e+00,  0.0000000e+00,  2.3196500e-01,  1.0323492e+01,  1.0789642e+01
      21,  3.1265295e+01,  0.0000000e+00,  0.0000000e+00,  2.3082000e-01,  1.0324992e+01,  1.0798912e+01
      22,  3.1241921e+01,  0.0000000e+00,  0.0000000e+00,  2.3073500e-01,  1.0309355e+01,  1.0776586e+01
      23,  3.0953998e+01,  0.0000000e+00,  0.0000000e+00,  2.3110600e-01,  1.0050325e+01,  1.0769609e+01
      24,  3.1158937e+01,  0.0000000e+00,  0.0000000e+00,  2.3209000e-01,  1.0270683e+01,  1.0757321e+01
      25,  3.1192518e+01,  0.0000000e+00,  0.0000000e+00,  2.3200200e-01,  1.0284300e+01,  1.0770756e+01
      26,  3.0920493e+01,  0.0000000e+00,  0.0000000e+00,  2.3016500e-01,  1.0026379e+01,  1.0741162e+01
      27,  3.0732195e+01,  0.0000000e+00,  0.0000000e+00,  2.3105500e-01,  9.8430260e+00,  1.0755484e+01
      28,  3.1092582e+01,  0.0000000e+00,  0.0000000e+00,  2.2979800e-01,  1.0218723e+01,  1.0746755e+01
      29,  3.0420284e+01,  0.0000000e+00,  0.0000000e+00,  2.3047700e-01,  9.5557870e+00,  1.0745675e+01
      30,  3.0702504e+01,  0.0000000e+00,  0.0000000e+00,  2.3034400e-01,  9.8363460e+00,  1.0740663e+01
      31,  3.0426407e+01,  0.0000000e+00,  0.0000000e+00,  2.3013700e-01,  9.5745230e+00,  1.0744548e+01
      32,  3.0828716e+01,  0.0000000e+00,  0.0000000e+00,  2.2924900e-01,  9.9723900e+00,  1.0749863e+01
      33,  3.0436958e+01,  0.0000000e+00,  0.0000000e+00,  2.2980700e-01,  9.2931430e+00,  1.1038540e+01
      34,  3.0709528e+01,  0.0000000e+00,  0.0000000e+00,  2.3106200e-01,  9.2272950e+00,  1.1363991e+01
      35,  3.0936949e+01,  0.0000000e+00,  0.0000000e+00,  2.3073100e-01,  9.4390220e+00,  1.1368921e+01
      36,  3.0819877e+01,  0.0000000e+00,  0.0000000e+00,  2.3000500e-01,  9.3304230e+00,  1.1369334e+01
      37,  3.0943711e+01,  0.0000000e+00,  0.0000000e+00,  2.3088900e-01,  9.4405610e+00,  1.1374327e+01
      38,  3.0688859e+01,  0.0000000e+00,  0.0000000e+00,  2.3013200e-01,  9.2015720e+00,  1.1359955e+01
      39,  3.0666079e+01,  0.0000000e+00,  0.0000000e+00,  2.3074800e-01,  9.1733480e+00,  1.1368233e+01
      40,  3.0499883e+01,  0.0000000e+00,  0.0000000e+00,  2.3008100e-01,  8.9916780e+00,  1.1375519e+01
      41,  3.0725018e+01,  0.0000000e+00,  0.0000000e+00,  2.3073300e-01,  9.1855180e+00,  1.1397962e+01
      42,  3.0601250e+01,  0.0000000e+00,  0.0000000e+00,  2.3176300e-01,  9.0482390e+00,  1.1403205e+01
      43,  3.0618129e+01,  0.0000000e+00,  0.0000000e+00,  2.3000500e-01,  9.0429540e+00,  1.1412525e+01
      44,  3.0733459e+01,  0.0000000e+00,  0.0000000e+00,  2.3056400e-01,  9.1664770e+00,  1.1420853e+01
      45,  3.0611471e+01,  0.0000000e+00,  0.0000000e+00,  2.3019200e-01,  9.0319530e+00,  1.1417782e+01
      46,  3.0471806e+01,  0.0000000e+00,  0.0000000e+00,  2.3206200e-01,  8.9126660e+00,  1.1405785e+01
      47,  3.0367440e+01,  0.0000000e+00,  0.0000000e+00,  2.3127300e-01,  8.8041980e+00,  1.1398248e+01
      48,  3.0346862e+01,  0.0000000e+00,  0.0000000e+00,  2.3125300e-01,  8.8032970e+00,  1.1397487e+01
      49,  3.0264483e+01,  0.0000000e+00,  0.0000000e+00,  2.2996200e-01,  8.7069110e+00,  1.1405080e+01
      50,  3.0140345e+01,  0.0000000e+00,  0.0000000e+00,  2.3146300e-01,  8.5959510e+00,  1.1398931e+01
      51,  3.0328338e+01,  0.0000000e+00,  0.0000000e+00,  2.3135400e-01,  8.8012130e+00,  1.1393090e+01
      52,  3.0002375e+01,  0.0000000e+00,  0.0000000e+00,  2.3097000e-01,  8.4664190e+00,  1.1389692e+01
      53,  3.0124656e+01,  0.0000000e+00,  0.0000000e+00,  2.3150700e-01,  8.5678150e+00,  1.1402007e+01
      54,  3.0093050e+01,  0.0000000e+00,  0.0000000e+00,  2.3097000e-01,  8.5255080e+00,  1.1404159e+01
      55,  3.0485977e+01,  0.0000000e+00,  0.0000000e+00,  2.3071700e-01,  8.9504600e+00,  1.1389364e+01
      56,  3.0354786e+01,  0.0000000e+00,  0.0000000e+00,  2.3062800e-01,  8.8481850e+00,  1.1377490e+01
      57,  2.9625445e+01,  0.0000000e+00,  0.0000000e+00,  2.3091500e-01,  8.1304060e+00,  1.1364608e+01
      58,  2.9983181e+01,  0.0000000e+00,  0.0000000e+00,  2.2858700e-01,  8.4955120e+00,  1.1359173e+01
      59,  2.9876028e+01,  0.0000000e+00,  0.0000000e+00,  2.2925600e-01,  8.3977810e+00,  1.1360986e+01
      60,  2.9954915e+01,  0.0000000e+00,  0.0000000e+00,  2.2899700e-01,  8.5007700e+00,  1.1345601e+01
      61,  2.9990655e+01,  0.0000000e+00,  0.0000000e+00,  2.3045000e-01,  8.5055870e+00,  1.1362952e+01
      62,  2.9715117e+01,  0.0000000e+00,  0.0000000e+00,  2.2966700e-01,  8.2332150e+00,  1.1363119e+01
      63,  2.9731948e+01,  0.0000000e+00,  0.0000000e+00,  2.2819600e-01,  8.2526630e+00,  1.1359834e+01
      64,  2.9613872e+01,  0.0000000e+00,  0.0000000e+00,  2.3011400e-01,  8.1222470e+00,  1.1360833e+01
      65,  2.9645373e+01,  0.0000000e+00,  0.0000000e+00,  2.3083200e-01,  8.1384190e+00,  1.1381555e+01
      66,  2.9765188e+01,  0.0000000e+00,  0.0000000e+00,  2.3130900e-01,  8.2411260e+00,  1.1382152e+01
      67,  2.9524003e+01,  0.0000000e+00,  0.0000000e+00,  2.2905900e-01,  8.0080980e+00,  1.1377489e+01
      68,  2.9773022e+01,  0.0000000e+00,  0.0000000e+00,  2.3064900e-01,  8.2465880e+00,  1.1383891e+01
      69,  2.9563807e+01,  0.0000000e+00,  0.0000000e+00,  2.3106100e-01,  8.0154950e+00,  1.1401318e+01
      70,  2.9830769e+01,  0.0000000e+00,  0.0000000e+00,  2.3112600e-01,  8.2565410e+00,  1.1413639e+01
      71,  2.9434236e+01,  0.0000000e+00,  0.0000000e+00,  2.3014900e-01,  7.8748430e+00,  1.1405783e+01
      72,  2.9610164e+01,  0.0000000e+00,  0.0000000e+00,  2.3175400e-01,  8.0233920e+00,  1.1428046e+01
      73,  2.9865087e+01,  0.0000000e+00,  0.0000000e+00,  2.3153600e-01,  8.2680130e+00,  1.1428609e+01
      74,  2.9598808e+01,  0.0000000e+00,  0.0000000e+00,  2.3218800e-01,  7.9931390e+00,  1.1429771e+01
      75,  2.9677150e+01,  0.0000000e+00,  0.0000000e+00,  2.3272500e-01,  8.0938830e+00,  1.1426042e+01
      76,  2.9594592e+01,  0.0000000e+00,  0.0000000e+00,  2.3198900e-01,  7.9880690e+00,  1.1432625e+01
      77,  2.9495946e+01,  0.0000000e+00,  0.0000000e+00,  2.3178100e-01,  7.8961380e+00,  1.1436475e+01
      78,  2.9468636e+01,  0.0000000e+00,  0.0000000e+00,  2.3164900e-01,  7.8763910e+00,  1.1432808e+01
      79,  2.9713404e+01,  0.0000000e+00,  0.0000000e+00,  2.3149600e-01,  8.0997420e+00,  1.1433159e+01
      80,  2.9441370e+01,  0.0000000e+00,  0.0000000e+00,  2.3268100e-01,  7.8450810e+00,  1.1433336e+01
      81,  2.9643713e+01,  0.0000000e+00,  0.0000000e+00,  2.3228400e-01,  8.0045180e+00,  1.1452543e+01
      82,  2.9781476e+01,  0.0000000e+00,  0.0000000e+00,  2.2874200e-01,  8.1451230e+00,  1.1446968e+01
      83,  2.9607929e+01,  0.0000000e+00,  0.0000000e+00,  2.3119000e-01,  7.9912210e+00,  1.1439324e+01
      84,  2.9508238e+01,  0.0000000e+00,  0.0000000e+00,  2.3187800e-01,  7.8832410e+00,  1.1439620e+01
      85,  2.9243963e+01,  0.0000000e+00,  0.0000000e+00,  2.3235200e-01,  7.6125580e+00,  1.1440488e+01
      86,  2.9420755e+01,  0.0000000e+00,  0.0000000e+00,  2.3100400e-01,  7.7610700e+00,  1.1468579e+01
      87,  2.9127509e+01,  0.0000000e+00,  0.0000000e+00,  2.3272800e-01,  7.4826180e+00,  1.1444280e+01
      88,  2.9451884e+01,  0.0000000e+00,  0.0000000e+00,  2.3082500e-01,  7.8081850e+00,  1.1454336e+01
      89,  2.9398320e+01,  0.0000000e+00,  0.0000000e+00,  2.3179500e-01,  7.7492680e+00,  1.1447233e+01
      90,  2.9406770e+01,  0.0000000e+00,  0.0000000e+00,  2.3183200e-01,  7.7637200e+00,  1.1454807e+01
      91,  2.9267440e+01,  0.0000000e+00,  0.0000000e+00,  2.3014600e-01,  7.6468150e+00,  1.1439473e+01
      92,  2.8973884e+01,  0.0000000e+00,  0.0000000e+00,  2.2901800e-01,  7.3657640e+00,  1.1438132e+01
      93,  2.9427184e+01,  0.0000000e+00,  0.0000000e+00,  2.3250600e-01,  7.7587570e+00,  1.1465338e+01
      94,  2.9038237e+01,  0.0000000e+00,  0.0000000e+00,  2.3224500e-01,  7.3752610e+00,  1.1456334e+01
      95,  2.9518237e+01,  0.0000000e+00,  0.0000000e+00,  2.3069400e-01,  7.8680650e+00,  1.1454115e+01
      96,  2.9327540e+01,  0.0000000e+00,  0.0000000e+00,  2.3153700e-01,  7.6690030e+00,  1.1460495e+01
