t, velocity, pressure, k, omega, wall_distance
 7.5000000e-04,  3.3488975e+01,  1.3333333e+03,  1.2375739e+03,  1.3326464e+03,  1.3333333e+03
 1.5000000e-03,  5.6885710e+00,  8.4343475e+02,  1.2146108e+01,  5.7077488e+02,  0.0000000e+00
 2.2500000e-03,  4.1324854e-01,  2.2220640e+05,  1.2044670e+01,  1.2141025e+02,  0.0000000e+00
 3.0000000e-03,  3.1195217e-01,  4.5176907e+03,  1.1944390e+01,  4.1829926e+01,  0.0000000e+00
 3.7500000e-03,  1.3244470e-01,  8.1833788e+02,  1.1845786e+01,  1.7049355e+01,  0.0000000e+00
 4.5000000e-03,  8.7613421e-02,  7.5194215e+02,  1.1748791e+01,  1.2384755e+01,  0.0000000e+00
 5.2500000e-03,  7.8474446e-02,  1.3506199e+02,  1.1653339e+01,  1.1256848e+01,  0.0000000e+00
 6.0000000e-03,  7.3842768e-02,  6.4012754e+01,  1.1559390e+01,  1.0701186e+01,  0.0000000e+00
 6.7500000e-03,  7.1362464e-02,  3.8835751e+01,  1.1466914e+01,  1.0353083e+01,  0.0000000e+00
 7.5000000e-03,  6.9606068e-02,  3.3737673e+01,  1.1375878e+01,  1.0112716e+01,  0.0000000e+00
 8.2500000e-03,  6.8195713e-02,  2.9291234e+01,  1.1286254e+01,  9.9496559e+00,  0.0000000e+00
 9.0000000e-03,  6.7000244e-02,  2.5497959e+01,  1.1198003e+01,  9.8091887e+00,  0.0000000e+00
 9.7500000e-03,  6.5952090e-02,  2.2487169e+01,  1.1111108e+01,  9.6658813e+00,  0.0000000e+00
 1.0500000e-02,  6.5012378e-02,  2.0775514e+01,  1.1025533e+01,  1.0119341e+01,  0.0000000e+00
 1.1250000e-02,  6.4153437e-02,  1.9803784e+01,  1.0941266e+01,  9.5133948e+00,  0.0000000e+00
 1.2000000e-02,  6.3354430e-02,  1.9299280e+01,  1.0858233e+01,  9.3801202e+00,  0.0000000e+00
 1.2750000e-02,  6.2609780e-02,  1.9246612e+01,  1.0776445e+01,  9.2935999e+00,  0.0000000e+00
 1.3500000e-02,  6.1912329e-02,  1.9302845e+01,  1.0695860e+01,  9.1861578e+00,  0.0000000e+00
 1.4250000e-02,  6.1254736e-02,  1.9545437e+01,  1.0616455e+01,  9.1006094e+00,  0.0000000e+00
 1.5000000e-02,  6.0631488e-02,  1.9874970e+01,  1.0538198e+01,  9.0191623e+00,  0.0000000e+00
 1.5750000e-02,  6.0038264e-02,  2.0198391e+01,  1.0461070e+01,  8.9498588e+00,  0.0000000e+00
 1.6500000e-02,  5.9471810e-02,  2.0539842e+01,  1.0385039e+01,  8.8834804e+00,  0.0000000e+00
 1.7250000e-02,  5.8929019e-02,  2.0843275e+01,  1.0310088e+01,  8.7927309e+00,  0.0000000e+00
 1.8000000e-02,  5.8406498e-02,  2.1106115e+01,  1.0236185e+01,  8.7214876e+00,  0.0000000e+00
 1.8750000e-02,  5.7902614e-02,  2.1317386e+01,  1.0163319e+01,  8.6449612e+00,  0.0000000e+00
 1.9500000e-02,  5.7415683e-02,  2.1484592e+01,  1.0091457e+01,  8.5957929e+00,  0.0000000e+00
 2.0250000e-02,  5.6943008e-02,  2.1593426e+01,  1.0020589e+01,  8.5097490e+00,  0.0000000e+00
 2.1000000e-02,  5.6484164e-02,  2.1654778e+01,  9.9506812e+00,  8.4508235e+00,  0.0000000e+00
 2.1750000e-02,  5.6037755e-02,  2.1668129e+01,  9.8817260e+00,  8.4116678e+00,  0.0000000e+00
 2.2500000e-02,  5.5604019e-02,  2.1645544e+01,  9.8136969e+00,  8.3025342e+00,  0.0000000e+00
 2.3250000e-02,  5.5181414e-02,  2.1581215e+01,  9.7465745e+00,  2.4480730e+01,  0.0000000e+00
 2.4000000e-02,  5.4767259e-02,  2.1489086e+01,  9.6804607e+00,  1.3451497e+01,  0.0000000e+00
 2.4750000e-02,  5.4363071e-02,  2.1372422e+01,  9.6150063e+00,  9.7577652e+00,  0.0000000e+00
 2.5500000e-02,  5.3969188e-02,  2.1236152e+01,  9.5505028e+00,  8.5362864e+00,  0.0000000e+00
