 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.7639812e+02,  1.0086690e+02,  0.0000000e+00,  2.8735489e+01,  0.0000000e+00,  5.8557600e-01
       1,  2.8191954e+03,  0.0000000e+00,  0.0000000e+00,  3.2348690e+00,  2.7515817e+03,  3.3970921e+01
       2,  1.2887401e+03,  0.0000000e+00,  0.0000000e+00,  2.1365620e+00,  1.2147584e+03,  3.7700284e+01
       3,  1.0617503e+03,  0.0000000e+00,  0.0000000e+00,  3.0965770e+00,  9.8829602e+02,  3.5998367e+01
       4,  8.4965011e+02,  0.0000000e+00,  0.0000000e+00,  2.8966190e+00,  7.8129556e+02,  3.7107252e+01
       5,  6.8296727e+02,  0.0000000e+00,  0.0000000e+00,  2.5136790e+00,  6.0837814e+02,  3.7082016e+01
       6,  6.5093315e+02,  0.0000000e+00,  0.0000000e+00,  2.8597000e+00,  5.8030938e+02,  3.5381579e+01
       7,  6.1850023e+02,  0.0000000e+00,  0.0000000e+00,  3.1166640e+00,  5.5211905e+02,  3.6130373e+01
       8,  5.7895020e+02,  0.0000000e+00,  0.0000000e+00,  2.7267230e+00,  5.0370533e+02,  3.7796242e+01
       9,  5.4558011e+02,  0.0000000e+00,  0.0000000e+00,  3.0967150e+00,  4.7123328e+02,  3.6433175e+01
      10,  5.2881016e+02,  0.0000000e+00,  0.0000000e+00,  3.1166890e+00,  4.5741751e+02,  3.7481272e+01
      11,  4.9998017e+02,  0.0000000e+00,  0.0000000e+00,  3.0866980e+00,  4.2700321e+02,  3.8611124e+01
      12,  5.1257014e+02,  0.0000000e+00,  0.0000000e+00,  2.7467560e+00,  4.3952598e+02,  3.9001540e+01
      13,  4.8532008e+02,  0.0000000e+00,  0.0000000e+00,  3.0966760e+00,  4.1641076e+02,  3.8411492e+01
      14,  4.7668006e+02,  0.0000000e+00,  0.0000000e+00,  3.1166730e+00,  4.0000513e+02,  3.9184003e+01
      15,  4.4381008e+02,  0.0000000e+00,  0.0000000e+00,  3.1137010e+00,  3.6657343e+02,  3.9685045e+01
      16,  4.6387992e+02,  0.0000000e+00,  0.0000000e+00,  3.1166980e+00,  3.8684377e+02,  3.9673344e+01
      17,  4.4300993e+02,  0.0000000e+00,  0.0000000e+00,  3.0967010e+00,  3.6682877e+02,  4.0431823e+01
      18,  4.2908693e+02,  0.0000000e+00,  0.0000000e+00,  2.1566720e+00,  3.5402440e+02,  4.0591450e+01
      19,  4.2026289e+02,  0.0000000e+00,  0.0000000e+00,  2.2566700e+00,  3.4978514e+02,  4.1763260e+01
      20,  4.2115699e+02,  0.0000000e+00,  0.0000000e+00,  2.1567200e+00,  3.4427802e+02,  4.1637897e+01
      21,  4.0634289e+02,  0.0000000e+00,  0.0000000e+00,  2.2896710e+00,  3.3346385e+02,  4.3619255e+01
      22,  4.1778981e+02,  0.0000000e+00,  0.0000000e+00,  3.1166670e+00,  3.3838636e+02,  4.2036024e+01
      23,  4.1892685e+02,  0.0000000e+00,  0.0000000e+00,  2.1566740e+00,  3.3891584e+02,  4.3543966e+01
      24,  4.8874284e+02,  0.0000000e+00,  2.6696941e+01,  3.1906741e+01,  3.5730278e+02,  4.0993419e+01
