t, velocity, pressure, k, omega, wall_distance
 5.0000000e-04,  2.1157170e+01,  2.0000000e+03,  1.8560004e+03,  1.9999937e+03,  2.0000000e+03
 1.0000000e-03,  1.2885521e+00,  7.5600227e+04,  5.0577839e+03,  1.4060071e+03,  0.0000000e+00
 1.5000000e-03,  4.6007955e-01,  3.5770350e+04,  2.9758045e+03,  1.1625331e+03,  0.0000000e+00
 2.0000000e-03,  3.3140999e-01,  8.1460073e+02,  1.8849535e+03,  9.3370746e+02,  0.0000000e+00
 2.5000000e-03,  2.6844184e-01,  1.1137062e+02,  1.2856040e+03,  7.4569232e+02,  0.0000000e+00
 3.0000000e-03,  2.5527757e-01,  5.7537892e+01,  9.3507321e+02,  6.0268110e+02,  0.0000000e+00
 3.5000000e-03,  2.4731795e-01,  5.0145167e+01,  7.1596188e+02,  4.9695568e+02,  0.0000000e+00
 4.0000000e-03,  2.3997141e-01,  4.5410741e+01,  5.7019959e+02,  4.1803832e+02,  0.0000000e+00
 4.5000000e-03,  2.3396980e-01,  4.1761555e+01,  4.6780558e+02,  3.5798900e+02,  0.0000000e+00
 5.0000000e-03,  2.2878609e-01,  3.8187867e+01,  3.9247592e+02,  3.1134508e+02,  0.0000000e+00
 5.5000000e-03,  2.2404936e-01,  3.5738525e+01,  3.3489360e+02,  2.7437751e+02,  0.0000000e+00
 6.0000000e-03,  2.1992373e-01,  3.4462940e+01,  2.8950467e+02,  2.4451461e+02,  0.0000000e+00
 6.5000000e-03,  2.1607381e-01,  3.2924977e+01,  2.5287932e+02,  2.1991938e+02,  0.0000000e+00
 7.0000000e-03,  2.1241128e-01,  3.1007219e+01,  2.2283461e+02,  1.9942610e+02,  0.0000000e+00
 7.5000000e-03,  2.0886623e-01,  2.9270941e+01,  1.9794330e+02,  1.8209429e+02,  0.0000000e+00
 8.0000000e-03,  2.0537298e-01,  2.7917033e+01,  1.7721444e+02,  1.6726603e+02,  0.0000000e+00
