t, velocity, pressure, k, omega, wall_distance
 4.0000000e-04,  2.6165765e+01,  2.5000000e+03,  2.3200001e+03,  2.4999921e+03,  2.5000000e+03
 8.0000000e-04,  1.5303325e+00,  3.2691787e+05,  5.0579448e+03,  1.6266504e+03,  0.0000000e+00
 1.2000000e-03,  4.6057900e-01,  1.4404097e+04,  3.0641504e+03,  1.3253305e+03,  0.0000000e+00
 1.6000000e-03,  3.3263169e-01,  1.6112351e+03,  2.0021323e+03,  1.0609648e+03,  0.0000000e+00
 2.0000000e-03,  2.7065866e-01,  1.6351597e+02,  1.4048765e+03,  8.5258819e+02,  0.0000000e+00
 2.4000000e-03,  2.6025910e-01,  5.8151339e+01,  1.0466019e+03,  6.9609015e+02,  0.0000000e+00
 2.8000000e-03,  2.5445226e-01,  4.6461393e+01,  8.1742488e+02,  5.7960013e+02,  0.0000000e+00
 3.2000000e-03,  2.4884346e-01,  4.5767655e+01,  6.6213825e+02,  4.9194182e+02,  0.0000000e+00
 3.6000000e-03,  2.4401456e-01,  4.3932756e+01,  5.5162589e+02,  4.2475273e+02,  0.0000000e+00
 4.0000000e-03,  2.3928352e-01,  4.3083104e+01,  4.6968046e+02,  3.7220004e+02,  0.0000000e+00
 4.4000000e-03,  2.3584422e-01,  4.0232434e+01,  4.0679897e+02,  3.3028435e+02,  0.0000000e+00
 4.8000000e-03,  2.3261378e-01,  3.7617833e+01,  3.5713729e+02,  2.9624920e+02,  0.0000000e+00
 5.2000000e-03,  2.2924410e-01,  3.5524437e+01,  3.1695686e+02,  2.6816688e+02,  0.0000000e+00
 5.6000000e-03,  2.2569537e-01,  3.3824360e+01,  2.8378096e+02,  2.4466486e+02,  0.0000000e+00
