 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  8.2748461e+01,  7.5955415e+01,  0.0000000e+00,  3.0111640e+00,  0.0000000e+00,  0.0000000e+00
       1,  2.3364654e+02,  0.0000000e+00,  0.0000000e+00,  2.1920900e-01,  2.1789659e+02,  8.2919510e+00
       2,  3.8640425e+01,  0.0000000e+00,  0.0000000e+00,  2.0606300e-01,  2.0287810e+01,  9.1109500e+00
       3,  3.5285401e+01,  0.0000000e+00,  0.0000000e+00,  2.0693000e-01,  1.5019640e+01,  9.9231400e+00
       4,  3.1713056e+01,  0.0000000e+00,  0.0000000e+00,  2.0712500e-01,  1.1868175e+01,  1.0280198e+01
       5,  2.9818050e+01,  0.0000000e+00,  0.0000000e+00,  2.0800700e-01,  9.4421420e+00,  1.0276236e+01
       6,  2.8898428e+01,  0.0000000e+00,  0.0000000e+00,  2.1003800e-01,  8.3110470e+00,  1.0425266e+01
       7,  2.9108716e+01,  0.0000000e+00,  0.0000000e+00,  2.0924600e-01,  8.4854860e+00,  1.0419119e+01
       8,  2.9826115e+01,  0.0000000e+00,  0.0000000e+00,  2.0816900e-01,  9.1873740e+00,  1.0488200e+01
       9,  2.8989330e+01,  0.0000000e+00,  0.0000000e+00,  2.0850900e-01,  8.2867780e+00,  1.0530240e+01
      10,  2.8958722e+01,  0.0000000e+00,  0.0000000e+00,  2.1706100e-01,  8.3659140e+00,  1.0417282e+01
      11,  2.9079516e+01,  0.0000000e+00,  0.0000000e+00,  2.0778600e-01,  8.4905800e+00,  1.0429158e+01
      12,  2.8949241e+01,  0.0000000e+00,  0.0000000e+00,  2.0758700e-01,  8.3938220e+00,  1.0400174e+01
      13,  2.8945799e+01,  0.0000000e+00,  0.0000000e+00,  2.0867400e-01,  8.4014800e+00,  1.0417258e+01
      14,  2.8790557e+01,  0.0000000e+00,  0.0000000e+00,  2.0889300e-01,  8.2732310e+00,  1.0403015e+01
